院校名称,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次,自主招生,艺术特长生,高水平运动员,学历,类型,经度,纬度
浙江越秀外国语学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.12,0.11330686752054454,0.23148240030836423
浙江医药高等专科学校,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.04,0.12156701988217364,0.29828938237666214
浙江机电职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12015920152282872,0.3018158902476457
浙江建设职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12030515820208994,0.3025224886490086
浙江艺术职业学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.11,0.12016314427554256,0.30180824305269915
浙江经贸职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.13,0.12038925693512022,0.3032265360530426
浙江经济职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.13,0.12038548477062272,0.30315107947028863
浙江旅游职业学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.13,0.12031054587921658,0.3025073215005184
浙江育英职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.13,0.1203581363085242,0.30311075343261035
浙江警官职业学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.07,0.12016632804993102,0.30215967185412707
浙江金融职业学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.13,0.12038961086749114,0.3032583626674782
浙江工业职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.12025941900077729,0.3016209913898995
杭州职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.12035964465330601,0.30327047642639754
嘉兴职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.12071744081589682,0.307489901681637
湖州职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.12013757095496232,0.3088281543268364
绍兴职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12056757038227428,0.29986661944360976
衢州职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.11887372560304992,0.2898323885644166
丽水职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.11991656298957525,0.2847919701435643
宁波大红鹰学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12148994544910409,0.2988443353249311
浙江东方职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.10867878271262602,0.19149008057964195
义乌工商职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.12010471568366395,0.29304078840172265
浙江大学城市学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12016195213430027,0.3032866268304792
浙江大学宁波理工学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12158468443120767,0.2981966882357258
浙江医学高等专科学校,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.04,0.12016632804993102,0.30215967185412707
浙江纺织服装职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12016632804993102,0.30215967185412707
嘉兴南洋职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12071181163334026,0.3079341191161691
浙江广厦建设职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.05,0.12025573036187975,0.29306788055369365
杭州万向职业技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.1,0.1,0.12008167254714569,0.3025962386272914
浙江工业大学之江学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12008993884427904,0.30171645330332647
浙江师范大学行知学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.1,0.11964346526886337,0.2913817204906793
宁波大学科学技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.1,0.12130297503205507,0.3019121314460909
杭州电子科技大学信息工程学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.12009172629258277,0.3025482855948155
浙江理工大学科技与艺术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.05,0.1208265686760294,0.30190043388221527
浙江海洋学院东海科学技术学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.03,0.11875956509248417,0.34547918627364266
浙江农林大学天目学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.08,0.12016632804993102,0.30215967185412707
温州医科大学仁济学院,0.0,0.0,0.0,0.38,0.18,-0.001,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-1.0,-1.0,-1.0,0.2,0.04,0.12071631625541313,0.2792808953199707
