大学名称,大学详情页链接
北华大学,https://daxue.911cha.com/162.html
长春师范大学,https://daxue.911cha.com/166.html
吉林建筑大学,https://daxue.911cha.com/157.html
长春大学,https://daxue.911cha.com/849.html
通化师范学院,https://daxue.911cha.com/163.html
长春工程学院,https://daxue.911cha.com/775.html
吉林工程技术师范学院,https://daxue.911cha.com/165.html
吉林工商学院,https://daxue.911cha.com/726.html
白城师范学院,https://daxue.911cha.com/167.html
吉林农业科技学院,https://daxue.911cha.com/776.html
吉林医药学院,https://daxue.911cha.com/1792.html
吉林体育学院,https://daxue.911cha.com/169.html
吉林艺术学院,https://daxue.911cha.com/170.html
辽源职业技术学院,https://daxue.911cha.com/616.html
吉林华桥外国语学院,https://daxue.911cha.com/660.html
四平职业大学,https://daxue.911cha.com/673.html
长春汽车工业高等专科学校,https://daxue.911cha.com/774.html
长春金融高等专科学校,https://daxue.911cha.com/777.html
吉林警察学院,https://daxue.911cha.com/778.html
长春医学高等专科学校,https://daxue.911cha.com/876.html
吉林交通职业技术学院,https://daxue.911cha.com/907.html
长春东方职业学院,https://daxue.911cha.com/953.html
吉林司法警官职业学院,https://daxue.911cha.com/1296.html
吉林电子信息职业技术学院,https://daxue.911cha.com/1297.html
吉林工业职业技术学院,https://daxue.911cha.com/1298.html
吉林农业工程职业技术学院,https://daxue.911cha.com/1299.html
长春职业技术学院,https://daxue.911cha.com/1473.html
长春光华学院,https://daxue.911cha.com/1694.html
长春工业大学人文信息学院,https://daxue.911cha.com/1695.html
长春理工大学光电信息学院,https://daxue.911cha.com/1696.html
吉林财经大学信息经济学院,https://daxue.911cha.com/1697.html
吉林建筑大学城建学院,https://daxue.911cha.com/1698.html
长春建筑学院,https://daxue.911cha.com/1699.html
长春科技学院,https://daxue.911cha.com/1700.html
吉林动画学院,https://daxue.911cha.com/1701.html
吉林师范大学博达学院,https://daxue.911cha.com/1716.html
长春大学旅游学院,https://daxue.911cha.com/1717.html
东北师范大学人文学院,https://daxue.911cha.com/1751.html
白城医学高等专科学校,https://daxue.911cha.com/1825.html
哈尔滨工业大学,https://daxue.911cha.com/172.html
哈尔滨工程大学,https://daxue.911cha.com/175.html
东北林业大学,https://daxue.911cha.com/181.html
哈尔滨医科大学,https://daxue.911cha.com/182.html
黑龙江大学,https://daxue.911cha.com/171.html
东北农业大学,https://daxue.911cha.com/180.html
哈尔滨理工大学,https://daxue.911cha.com/173.html
哈尔滨师范大学,https://daxue.911cha.com/185.html
东北石油大学,https://daxue.911cha.com/177.html
黑龙江中医药大学,https://daxue.911cha.com/183.html
哈尔滨商业大学,https://daxue.911cha.com/192.html
黑龙江八一农垦大学,https://daxue.911cha.com/179.html
佳木斯大学,https://daxue.911cha.com/178.html
齐齐哈尔大学,https://daxue.911cha.com/186.html
黑龙江科技大学,https://daxue.911cha.com/176.html
牡丹江师范学院,https://daxue.911cha.com/187.html
牡丹江医学院,https://daxue.911cha.com/184.html
哈尔滨学院,https://daxue.911cha.com/188.html
黑龙江工程学院,https://daxue.911cha.com/866.html
齐齐哈尔医学院,https://daxue.911cha.com/718.html
黑龙江工业学院,https://daxue.911cha.com/779.html
大庆师范学院,https://daxue.911cha.com/189.html
绥化学院,https://daxue.911cha.com/190.html
哈尔滨金融学院,https://daxue.911cha.com/194.html
黑河学院,https://daxue.911cha.com/1826.html
齐齐哈尔高等师范专科学校,https://daxue.911cha.com/191.html
哈尔滨体育学院,https://daxue.911cha.com/193.html
伊春职业学院,https://daxue.911cha.com/638.html
牡丹江大学,https://daxue.911cha.com/674.html
黑龙江东方学院,https://daxue.911cha.com/780.html
黑龙江职业学院,https://daxue.911cha.com/781.html
哈尔滨华夏计算机职业技术学院,https://daxue.911cha.com/831.html
黑龙江建筑职业技术学院,https://daxue.911cha.com/911.html
黑龙江艺术职业学院,https://daxue.911cha.com/1010.html
大庆职业学院,https://daxue.911cha.com/1130.html
黑龙江林业职业技术学院,https://daxue.911cha.com/1136.html
黑龙江农业职业技术学院,https://daxue.911cha.com/1137.html
黑龙江农业工程职业学院,https://daxue.911cha.com/1138.html
黑龙江农垦职业学院,https://daxue.911cha.com/1139.html
黑龙江司法警官职业学院,https://daxue.911cha.com/1140.html
齐齐哈尔工程学院,https://daxue.911cha.com/1141.html
鹤岗师范高等专科学校,https://daxue.911cha.com/1300.html
哈尔滨电力职业技术学院,https://daxue.911cha.com/1301.html
哈尔滨铁道职业技术学院,https://daxue.911cha.com/1302.html
大兴安岭职业学院,https://daxue.911cha.com/1303.html
黑龙江畜牧兽医职业学院,https://daxue.911cha.com/1304.html
黑龙江农业经济职业学院,https://daxue.911cha.com/1305.html
哈尔滨职业技术学院,https://daxue.911cha.com/1306.html
黑龙江外国语学院,https://daxue.911cha.com/1532.html
黑龙江财经学院,https://daxue.911cha.com/1533.html
哈尔滨石油学院,https://daxue.911cha.com/1534.html
东北农业大学成栋学院,https://daxue.911cha.com/1535.html
哈尔滨远东理工学院,https://daxue.911cha.com/1536.html
哈尔滨剑桥学院,https://daxue.911cha.com/1537.html
黑龙江工程学院昆仑旅游学院,https://daxue.911cha.com/1538.html
哈尔滨商业大学广厦学院,https://daxue.911cha.com/1539.html
哈尔滨华德学院,https://daxue.911cha.com/1540.html
黑龙江生物科技职业学院,https://daxue.911cha.com/1613.html
黑龙江商业职业学院,https://daxue.911cha.com/1614.html
黑龙江公安警官职业学院,https://daxue.911cha.com/1615.html
黑龙江信息技术职业学院,https://daxue.911cha.com/1616.html
哈尔滨江南职业技术学院,https://daxue.911cha.com/1617.html
黑龙江农垦科技职业学院,https://daxue.911cha.com/1618.html
黑龙江旅游职业技术学院,https://daxue.911cha.com/1811.html
黑龙江三江美术职业学院,https://daxue.911cha.com/1812.html
黑龙江生态工程职业学院,https://daxue.911cha.com/1813.html
黑龙江煤炭职业技术学院,https://daxue.911cha.com/1814.html
上海交通大学,https://daxue.911cha.com/197.html
复旦大学,https://daxue.911cha.com/195.html
同济大学,https://daxue.911cha.com/196.html
华东师范大学,https://daxue.911cha.com/208.html
华东理工大学,https://daxue.911cha.com/198.html
上海大学,https://daxue.911cha.com/219.html
